state,district,village,scheme,allocated_fund,used_fund,year,work_type
Uttar Pradesh,Hapur,Pilkhuwa,Jal Jeevan Mission,975225,286389,2022-2023,Water Supply
Uttar Pradesh,Bulandshahr,Modinagar Rural,PMAY-G,1683873,1001998,2022-2023,Sanitation
Uttar Pradesh,Ghaziabad,Dadri,PMAY-G,3927993,2145001,2023-2024,Sanitation
Uttar Pradesh,Ghaziabad,Khoda,Swachh Bharat,2032195,1241463,2022-2023,Sanitation
Uttar Pradesh,Bulandshahr,Bhojpur,MGNREGA,3978991,529952,2023-2024,Water Supply
Uttar Pradesh,Ghaziabad,Sikandrabad,Swachh Bharat,4631305,3723271,2022-2023,Sanitation
Uttar Pradesh,Noida,Dasna,MGNREGA,2091356,890585,2024-2025,Housing
Uttar Pradesh,Bulandshahr,Dadri,Swachh Bharat,1836558,1505378,2024-2025,Livelihood
Uttar Pradesh,Hapur,Garhmukteshwar,PMAY-G,4035859,478507,2024-2025,Road Construction
Uttar Pradesh,Bulandshahr,Modinagar Rural,PMAY-G,3827648,1782587,2024-2025,Water Supply
Uttar Pradesh,Meerut,Sikandrabad,NRLM,749754,418443,2023-2024,Sanitation
Uttar Pradesh,Meerut,Dasna,NRLM,3089320,2858786,2023-2024,Livelihood
Uttar Pradesh,Hapur,Modinagar Rural,NRLM,4299327,3892466,2022-2023,Sanitation
Uttar Pradesh,Ghaziabad,Loni Dehat,MGNREGA,581687,427961,2022-2023,Housing
Uttar Pradesh,Noida,Garhmukteshwar,Swachh Bharat,2094380,1988378,2024-2025,Housing
Uttar Pradesh,Meerut,Pilkhuwa,Swachh Bharat,3013632,1798166,2024-2025,Sanitation
Uttar Pradesh,Ghaziabad,Loni Dehat,PMAY-G,3335748,2602096,2023-2024,Housing
Uttar Pradesh,Hapur,Garhmukteshwar,Swachh Bharat,4167114,1372538,2022-2023,Livelihood
Uttar Pradesh,Hapur,Noorpur,MGNREGA,2631530,369120,2023-2024,Water Supply
Uttar Pradesh,Bulandshahr,Dhaulana,NRLM,4190986,2519849,2023-2024,Road Construction
Uttar Pradesh,Noida,Dhaulana,NRLM,3210126,821514,2024-2025,Road Construction
Uttar Pradesh,Noida,Chhapraula,PMAY-G,2768104,2008351,2024-2025,Livelihood
Uttar Pradesh,Hapur,Dasna,PMAY-G,1267578,1144622,2022-2023,Housing
Uttar Pradesh,Bulandshahr,Dadri,Swachh Bharat,3337084,819943,2023-2024,Water Supply
Uttar Pradesh,Meerut,Dhaulana,NRLM,914245,478556,2022-2023,Housing
Uttar Pradesh,Ghaziabad,Kavi Nagar,NRLM,1385515,1106961,2023-2024,Water Supply
Uttar Pradesh,Ghaziabad,Dhaulana,MGNREGA,4917777,2372371,2024-2025,Sanitation
Uttar Pradesh,Ghaziabad,Dhaulana,Swachh Bharat,4201933,325267,2023-2024,Sanitation
Uttar Pradesh,Ghaziabad,Modinagar Rural,Swachh Bharat,2148188,1378535,2024-2025,Road Construction
Uttar Pradesh,Ghaziabad,Garhmukteshwar,Jal Jeevan Mission,649289,637891,2023-2024,Sanitation
Uttar Pradesh,Noida,Dadri,MGNREGA,4250534,3307576,2022-2023,Road Construction
Uttar Pradesh,Noida,Dasna,Jal Jeevan Mission,3465958,2020938,2022-2023,Road Construction
Uttar Pradesh,Hapur,Dasna,PMAY-G,4316994,2901770,2023-2024,Sanitation
Uttar Pradesh,Noida,Pilkhuwa,NRLM,3436869,2709626,2024-2025,Road Construction
Uttar Pradesh,Bulandshahr,Pilkhuwa,Swachh Bharat,743424,301361,2023-2024,Livelihood
Uttar Pradesh,Meerut,Pilkhuwa,PMAY-G,2297290,777636,2024-2025,Water Supply
Uttar Pradesh,Bulandshahr,Sikandrabad,Jal Jeevan Mission,1450540,1438716,2022-2023,Housing
Uttar Pradesh,Meerut,Garhmukteshwar,Swachh Bharat,2730502,1403616,2023-2024,Livelihood
Uttar Pradesh,Noida,Bhojpur,NRLM,4302786,2661871,2023-2024,Sanitation
Uttar Pradesh,Bulandshahr,Muradnagar Village,Jal Jeevan Mission,3917760,3097344,2022-2023,Housing
Uttar Pradesh,Hapur,Khoda,Swachh Bharat,845571,627979,2022-2023,Water Supply
Uttar Pradesh,Hapur,Dadri,Jal Jeevan Mission,3942364,898710,2024-2025,Housing
Uttar Pradesh,Hapur,Pilkhuwa,Jal Jeevan Mission,1421675,583794,2024-2025,Housing
Uttar Pradesh,Noida,Muradnagar Village,Jal Jeevan Mission,1864221,1447691,2023-2024,Livelihood
Uttar Pradesh,Bulandshahr,Dasna,NRLM,2281639,1387500,2023-2024,Road Construction
Uttar Pradesh,Bulandshahr,Khoda,Swachh Bharat,848308,325905,2023-2024,Road Construction
Uttar Pradesh,Bulandshahr,Muradnagar Village,PMAY-G,1529321,1230450,2022-2023,Water Supply
Uttar Pradesh,Hapur,Dadri,PMAY-G,2716171,1400284,2022-2023,Water Supply
Uttar Pradesh,Noida,Dadri,Jal Jeevan Mission,4453035,1465120,2024-2025,Housing
Uttar Pradesh,Noida,Noorpur,Jal Jeevan Mission,4432659,4330584,2022-2023,Sanitation
Uttar Pradesh,Meerut,Muradnagar Village,PMAY-G,3126498,1714414,2022-2023,Road Construction
Uttar Pradesh,Bulandshahr,Bhojpur,Jal Jeevan Mission,3593917,2815689,2023-2024,Water Supply
Uttar Pradesh,Noida,Dasna,NRLM,4828148,3936414,2024-2025,Livelihood
Uttar Pradesh,Meerut,Loni Dehat,PMAY-G,1175701,385909,2022-2023,Sanitation
Uttar Pradesh,Bulandshahr,Bhojpur,PMAY-G,2917816,1123663,2022-2023,Sanitation
Uttar Pradesh,Ghaziabad,Dadri,MGNREGA,3797324,2841493,2022-2023,Water Supply
Uttar Pradesh,Bulandshahr,Behrampur,Jal Jeevan Mission,3740890,2710624,2024-2025,Sanitation
Uttar Pradesh,Bulandshahr,Pilkhuwa,Swachh Bharat,858141,590100,2022-2023,Water Supply
Uttar Pradesh,Noida,Loni Dehat,MGNREGA,3853428,1989426,2024-2025,Water Supply
Uttar Pradesh,Noida,Dhaulana,NRLM,1427892,615699,2023-2024,Water Supply
Uttar Pradesh,Ghaziabad,Modinagar Rural,Jal Jeevan Mission,2637820,1357160,2022-2023,Housing
Uttar Pradesh,Hapur,Chhapraula,Swachh Bharat,1588274,535600,2023-2024,Livelihood
Uttar Pradesh,Noida,Kavi Nagar,NRLM,2199520,1881049,2022-2023,Road Construction
Uttar Pradesh,Hapur,Garhmukteshwar,Swachh Bharat,3224713,883699,2024-2025,Road Construction
Uttar Pradesh,Noida,Dhaulana,NRLM,4208308,3326782,2022-2023,Water Supply
Uttar Pradesh,Ghaziabad,Modinagar Rural,PMAY-G,2630162,2407148,2024-2025,Housing
Uttar Pradesh,Bulandshahr,Khoda,Jal Jeevan Mission,4382467,1949004,2023-2024,Livelihood
Uttar Pradesh,Noida,Bhojpur,PMAY-G,1322234,1092409,2024-2025,Housing
Uttar Pradesh,Bulandshahr,Bhojpur,Jal Jeevan Mission,4951377,4640507,2024-2025,Livelihood
Uttar Pradesh,Bulandshahr,Modinagar Rural,Swachh Bharat,569560,431537,2022-2023,Water Supply
Uttar Pradesh,Bulandshahr,Dadri,Jal Jeevan Mission,4523222,3351259,2022-2023,Housing
Uttar Pradesh,Bulandshahr,Dasna,PMAY-G,2481867,1917590,2024-2025,Livelihood
Uttar Pradesh,Hapur,Noorpur,Jal Jeevan Mission,1361062,200476,2022-2023,Housing
Uttar Pradesh,Ghaziabad,Muradnagar Village,NRLM,1669144,711406,2024-2025,Housing
Uttar Pradesh,Hapur,Dasna,Swachh Bharat,1673594,408661,2022-2023,Housing
Uttar Pradesh,Bulandshahr,Noorpur,NRLM,2216537,421249,2023-2024,Livelihood
Uttar Pradesh,Bulandshahr,Pilkhuwa,Swachh Bharat,751601,584725,2024-2025,Sanitation
Uttar Pradesh,Hapur,Dadri,NRLM,1553778,1289683,2023-2024,Livelihood
Uttar Pradesh,Hapur,Behrampur,MGNREGA,1904866,1904575,2022-2023,Water Supply
Uttar Pradesh,Ghaziabad,Kavi Nagar,NRLM,4192878,1399568,2022-2023,Road Construction
Uttar Pradesh,Noida,Khoda,Swachh Bharat,973640,355774,2022-2023,Livelihood
Uttar Pradesh,Hapur,Sikandrabad,Swachh Bharat,1495711,801953,2024-2025,Housing
Uttar Pradesh,Noida,Pilkhuwa,MGNREGA,1215706,508282,2024-2025,Road Construction
Uttar Pradesh,Hapur,Bhojpur,NRLM,2688457,2124431,2022-2023,Sanitation
Uttar Pradesh,Ghaziabad,Chhapraula,PMAY-G,1367742,534289,2022-2023,Sanitation
Uttar Pradesh,Ghaziabad,Sikandrabad,PMAY-G,2205092,788636,2022-2023,Livelihood
Uttar Pradesh,Noida,Sikandrabad,MGNREGA,4146791,2053601,2022-2023,Housing
Uttar Pradesh,Noida,Dadri,MGNREGA,2696818,1877721,2024-2025,Sanitation
Uttar Pradesh,Bulandshahr,Bhojpur,NRLM,2794907,1308479,2024-2025,Water Supply
Uttar Pradesh,Ghaziabad,Khoda,MGNREGA,562830,254634,2024-2025,Sanitation
Uttar Pradesh,Noida,Dasna,NRLM,2242032,546888,2023-2024,Sanitation
Uttar Pradesh,Noida,Bhojpur,NRLM,3559000,1526538,2023-2024,Water Supply
Uttar Pradesh,Noida,Pilkhuwa,NRLM,2415118,1579838,2022-2023,Housing
Uttar Pradesh,Ghaziabad,Noorpur,PMAY-G,2857241,2029379,2023-2024,Road Construction
Uttar Pradesh,Hapur,Behrampur,PMAY-G,3422296,3318854,2022-2023,Livelihood
Uttar Pradesh,Noida,Bhojpur,MGNREGA,1411830,245174,2022-2023,Housing
Uttar Pradesh,Hapur,Khoda,MGNREGA,849275,811755,2023-2024,Water Supply
Uttar Pradesh,Hapur,Garhmukteshwar,Swachh Bharat,3914944,1088679,2024-2025,Housing
Uttar Pradesh,Meerut,Sikandrabad,PMAY-G,4901244,763220,2022-2023,Housing
Uttar Pradesh,Ghaziabad,Dasna,PMAY-G,1695936,1586740,2023-2024,Housing
Uttar Pradesh,Bulandshahr,Dhaulana,NRLM,2185659,241181,2023-2024,Livelihood
Uttar Pradesh,Bulandshahr,Chhapraula,Jal Jeevan Mission,2031081,285938,2023-2024,Housing
Uttar Pradesh,Hapur,Kavi Nagar,PMAY-G,1132850,231537,2022-2023,Water Supply
Uttar Pradesh,Hapur,Noorpur,MGNREGA,1958154,755860,2023-2024,Road Construction
Uttar Pradesh,Hapur,Loni Dehat,MGNREGA,1526064,1117215,2022-2023,Water Supply
Uttar Pradesh,Hapur,Dadri,Swachh Bharat,1377977,1009896,2023-2024,Livelihood
Uttar Pradesh,Hapur,Garhmukteshwar,Swachh Bharat,2171088,764311,2024-2025,Sanitation
Uttar Pradesh,Noida,Bhojpur,Jal Jeevan Mission,1167295,244299,2024-2025,Road Construction
Uttar Pradesh,Bulandshahr,Chhapraula,NRLM,1174295,554002,2023-2024,Housing
Uttar Pradesh,Ghaziabad,Garhmukteshwar,MGNREGA,4882105,494970,2023-2024,Sanitation
Uttar Pradesh,Ghaziabad,Behrampur,NRLM,3085956,843707,2024-2025,Water Supply
Uttar Pradesh,Bulandshahr,Bhojpur,PMAY-G,2081752,382119,2023-2024,Road Construction
Uttar Pradesh,Bulandshahr,Dadri,Swachh Bharat,2320615,1828815,2023-2024,Livelihood
Uttar Pradesh,Bulandshahr,Bhojpur,Swachh Bharat,4258252,3757087,2023-2024,Housing
Uttar Pradesh,Ghaziabad,Garhmukteshwar,NRLM,3560345,2541964,2024-2025,Sanitation
Uttar Pradesh,Meerut,Behrampur,MGNREGA,3932686,3665525,2023-2024,Sanitation
Uttar Pradesh,Meerut,Dadri,MGNREGA,4442162,3781813,2023-2024,Livelihood
Uttar Pradesh,Bulandshahr,Loni Dehat,Jal Jeevan Mission,4849189,4095088,2022-2023,Sanitation
Uttar Pradesh,Ghaziabad,Dasna,PMAY-G,782013,745952,2022-2023,Housing
Uttar Pradesh,Hapur,Sikandrabad,MGNREGA,2650019,2171815,2024-2025,Livelihood
Uttar Pradesh,Noida,Modinagar Rural,Swachh Bharat,3282334,1363222,2024-2025,Water Supply
Uttar Pradesh,Bulandshahr,Khoda,Jal Jeevan Mission,4094921,3355985,2023-2024,Livelihood
Uttar Pradesh,Bulandshahr,Bhojpur,NRLM,2566447,2143464,2022-2023,Road Construction
Uttar Pradesh,Ghaziabad,Muradnagar Village,NRLM,2470409,1931701,2023-2024,Housing
Uttar Pradesh,Bulandshahr,Kavi Nagar,Swachh Bharat,1455724,679514,2023-2024,Water Supply
Uttar Pradesh,Meerut,Behrampur,Jal Jeevan Mission,3894693,2622890,2023-2024,Water Supply
Uttar Pradesh,Meerut,Dadri,NRLM,3237563,1900587,2023-2024,Road Construction
Uttar Pradesh,Noida,Dhaulana,Jal Jeevan Mission,2906358,678739,2024-2025,Water Supply
Uttar Pradesh,Noida,Pilkhuwa,Swachh Bharat,2895545,1867032,2023-2024,Road Construction
Uttar Pradesh,Hapur,Modinagar Rural,PMAY-G,1157901,878431,2022-2023,Housing
Uttar Pradesh,Hapur,Garhmukteshwar,MGNREGA,2503247,2143458,2022-2023,Housing
Uttar Pradesh,Hapur,Sikandrabad,Swachh Bharat,1104629,502412,2024-2025,Water Supply
Uttar Pradesh,Ghaziabad,Chhapraula,MGNREGA,1627994,1291938,2023-2024,Livelihood
Uttar Pradesh,Noida,Bhojpur,Swachh Bharat,2469457,1167791,2023-2024,Housing
Uttar Pradesh,Meerut,Muradnagar Village,PMAY-G,3030350,1321010,2023-2024,Sanitation
Uttar Pradesh,Bulandshahr,Garhmukteshwar,Jal Jeevan Mission,4210208,280415,2024-2025,Livelihood
Uttar Pradesh,Bulandshahr,Khoda,Swachh Bharat,2939903,2065383,2022-2023,Housing
Uttar Pradesh,Meerut,Modinagar Rural,Swachh Bharat,1078947,547884,2022-2023,Road Construction
Uttar Pradesh,Hapur,Dasna,Jal Jeevan Mission,3268248,2590099,2022-2023,Livelihood
Uttar Pradesh,Meerut,Dasna,NRLM,1738862,1178753,2023-2024,Water Supply
Uttar Pradesh,Ghaziabad,Khoda,MGNREGA,2618253,952328,2022-2023,Housing
Uttar Pradesh,Meerut,Khoda,NRLM,646598,308499,2022-2023,Road Construction
Uttar Pradesh,Bulandshahr,Muradnagar Village,PMAY-G,4132618,587487,2024-2025,Road Construction
Uttar Pradesh,Hapur,Bhojpur,Swachh Bharat,4467214,1949910,2023-2024,Road Construction
Uttar Pradesh,Noida,Garhmukteshwar,Swachh Bharat,564356,321962,2023-2024,Road Construction
Uttar Pradesh,Noida,Muradnagar Village,MGNREGA,4261570,1021587,2022-2023,Road Construction
Uttar Pradesh,Meerut,Muradnagar Village,Swachh Bharat,2703724,1878276,2024-2025,Sanitation
Uttar Pradesh,Noida,Kavi Nagar,Jal Jeevan Mission,750520,349585,2023-2024,Livelihood
Uttar Pradesh,Hapur,Modinagar Rural,NRLM,4788698,349184,2024-2025,Livelihood
Uttar Pradesh,Hapur,Garhmukteshwar,MGNREGA,1469303,938226,2023-2024,Water Supply
Uttar Pradesh,Noida,Kavi Nagar,NRLM,2500916,2001430,2023-2024,Water Supply
Uttar Pradesh,Meerut,Loni Dehat,PMAY-G,4460220,4441784,2022-2023,Sanitation
Uttar Pradesh,Noida,Garhmukteshwar,Swachh Bharat,4428006,1967212,2024-2025,Sanitation
Uttar Pradesh,Ghaziabad,Pilkhuwa,MGNREGA,2456848,1318621,2024-2025,Livelihood
Uttar Pradesh,Ghaziabad,Modinagar Rural,NRLM,2651976,2140512,2023-2024,Water Supply
Uttar Pradesh,Meerut,Bhojpur,NRLM,1368491,1122031,2024-2025,Sanitation
Uttar Pradesh,Meerut,Behrampur,PMAY-G,1237627,867943,2023-2024,Livelihood
Uttar Pradesh,Ghaziabad,Modinagar Rural,PMAY-G,2367581,1821309,2024-2025,Livelihood
Uttar Pradesh,Meerut,Bhojpur,Jal Jeevan Mission,2410708,2130378,2023-2024,Road Construction
Uttar Pradesh,Meerut,Khoda,Swachh Bharat,2915553,263352,2024-2025,Water Supply
Uttar Pradesh,Hapur,Chhapraula,PMAY-G,4051028,311917,2024-2025,Sanitation
Uttar Pradesh,Noida,Modinagar Rural,MGNREGA,1471751,1280576,2023-2024,Livelihood
Uttar Pradesh,Ghaziabad,Chhapraula,MGNREGA,1715849,575555,2022-2023,Water Supply
Uttar Pradesh,Bulandshahr,Dhaulana,NRLM,2713236,317199,2024-2025,Housing
Uttar Pradesh,Meerut,Bhojpur,MGNREGA,3579167,1218806,2023-2024,Livelihood
Uttar Pradesh,Ghaziabad,Bhojpur,MGNREGA,1172866,707233,2022-2023,Water Supply
Uttar Pradesh,Hapur,Behrampur,MGNREGA,2842113,1415887,2024-2025,Sanitation
Uttar Pradesh,Meerut,Chhapraula,PMAY-G,1460966,638992,2023-2024,Water Supply
Uttar Pradesh,Meerut,Muradnagar Village,Jal Jeevan Mission,3334983,1445933,2024-2025,Livelihood
Uttar Pradesh,Ghaziabad,Dhaulana,Jal Jeevan Mission,4536142,1217034,2024-2025,Sanitation
Uttar Pradesh,Noida,Modinagar Rural,MGNREGA,4164049,2609022,2024-2025,Housing
Uttar Pradesh,Noida,Modinagar Rural,NRLM,940421,365697,2023-2024,Road Construction
Uttar Pradesh,Noida,Muradnagar Village,MGNREGA,4857263,2395618,2022-2023,Road Construction
Uttar Pradesh,Noida,Bhojpur,Swachh Bharat,1660045,419253,2023-2024,Water Supply
Uttar Pradesh,Ghaziabad,Loni Dehat,NRLM,3591884,2129291,2022-2023,Livelihood
Uttar Pradesh,Ghaziabad,Bhojpur,PMAY-G,4417620,3386816,2024-2025,Livelihood
Uttar Pradesh,Hapur,Dasna,Jal Jeevan Mission,1297258,731222,2024-2025,Housing
Uttar Pradesh,Meerut,Behrampur,Swachh Bharat,2614059,1201876,2023-2024,Sanitation
Uttar Pradesh,Ghaziabad,Behrampur,Swachh Bharat,1443626,1159765,2022-2023,Sanitation
Uttar Pradesh,Noida,Noorpur,Jal Jeevan Mission,2424396,681938,2022-2023,Livelihood
Uttar Pradesh,Noida,Garhmukteshwar,Swachh Bharat,3140710,1831400,2022-2023,Water Supply
Uttar Pradesh,Noida,Dadri,Jal Jeevan Mission,2160459,1782101,2022-2023,Sanitation
Uttar Pradesh,Ghaziabad,Dadri,MGNREGA,1098949,581594,2023-2024,Sanitation
Uttar Pradesh,Hapur,Chhapraula,Swachh Bharat,3226592,943946,2024-2025,Road Construction
Uttar Pradesh,Ghaziabad,Khoda,NRLM,2660161,440623,2024-2025,Livelihood
Uttar Pradesh,Noida,Noorpur,MGNREGA,3076415,1641316,2022-2023,Road Construction
Uttar Pradesh,Bulandshahr,Dadri,Swachh Bharat,2155297,1257375,2024-2025,Water Supply
Uttar Pradesh,Hapur,Modinagar Rural,NRLM,1787285,838643,2024-2025,Housing
Uttar Pradesh,Ghaziabad,Sikandrabad,MGNREGA,2866938,1040037,2024-2025,Sanitation
Uttar Pradesh,Ghaziabad,Dasna,MGNREGA,3726607,2569076,2023-2024,Road Construction
Uttar Pradesh,Hapur,Bhojpur,MGNREGA,600433,386718,2024-2025,Livelihood
Uttar Pradesh,Bulandshahr,Kavi Nagar,NRLM,1076060,835351,2024-2025,Sanitation
Uttar Pradesh,Noida,Muradnagar Village,NRLM,2845425,2058591,2022-2023,Livelihood
Uttar Pradesh,Bulandshahr,Muradnagar Village,NRLM,1816110,1048671,2023-2024,Road Construction
Uttar Pradesh,Noida,Muradnagar Village,Jal Jeevan Mission,3232478,516818,2022-2023,Livelihood
Uttar Pradesh,Bulandshahr,Chhapraula,PMAY-G,4755570,2589925,2023-2024,Sanitation
Uttar Pradesh,Meerut,Sikandrabad,Swachh Bharat,4184928,825480,2022-2023,Road Construction
Uttar Pradesh,Hapur,Modinagar Rural,PMAY-G,4083064,3119499,2023-2024,Housing
Uttar Pradesh,Hapur,Chhapraula,NRLM,2320181,1709718,2024-2025,Road Construction
Uttar Pradesh,Bulandshahr,Kavi Nagar,NRLM,1697068,1663283,2023-2024,Water Supply
Uttar Pradesh,Bulandshahr,Muradnagar Village,NRLM,801528,488517,2023-2024,Water Supply
Uttar Pradesh,Bulandshahr,Dadri,Jal Jeevan Mission,3873831,3140649,2023-2024,Road Construction
Uttar Pradesh,Hapur,Garhmukteshwar,PMAY-G,4643074,298292,2024-2025,Road Construction
Uttar Pradesh,Meerut,Chhapraula,Swachh Bharat,2133961,404599,2024-2025,Water Supply
Uttar Pradesh,Ghaziabad,Noorpur,PMAY-G,2948919,1328867,2022-2023,Livelihood
Uttar Pradesh,Hapur,Garhmukteshwar,MGNREGA,2335311,1676598,2022-2023,Road Construction
Uttar Pradesh,Meerut,Modinagar Rural,PMAY-G,1427242,887964,2022-2023,Water Supply
Uttar Pradesh,Bulandshahr,Kavi Nagar,Swachh Bharat,3676614,2147302,2022-2023,Sanitation
Uttar Pradesh,Bulandshahr,Pilkhuwa,NRLM,4472893,4263929,2023-2024,Water Supply
Uttar Pradesh,Hapur,Dasna,PMAY-G,3010939,2045928,2022-2023,Housing
Uttar Pradesh,Noida,Khoda,Swachh Bharat,4447808,4019968,2022-2023,Water Supply
Uttar Pradesh,Ghaziabad,Dadri,Jal Jeevan Mission,843710,390938,2023-2024,Housing
Uttar Pradesh,Noida,Garhmukteshwar,PMAY-G,995261,804785,2022-2023,Housing
Uttar Pradesh,Noida,Modinagar Rural,NRLM,1823852,1353549,2024-2025,Road Construction
Uttar Pradesh,Noida,Dadri,Jal Jeevan Mission,1061422,458275,2024-2025,Sanitation
Uttar Pradesh,Noida,Loni Dehat,Jal Jeevan Mission,2874402,522519,2024-2025,Sanitation
Uttar Pradesh,Ghaziabad,Muradnagar Village,Jal Jeevan Mission,4553982,1265365,2023-2024,Sanitation
Uttar Pradesh,Hapur,Behrampur,NRLM,2307250,1270622,2022-2023,Water Supply
Uttar Pradesh,Ghaziabad,Modinagar Rural,PMAY-G,2773910,2693079,2022-2023,Road Construction
Uttar Pradesh,Hapur,Chhapraula,MGNREGA,4586567,2446609,2024-2025,Sanitation
Uttar Pradesh,Bulandshahr,Kavi Nagar,MGNREGA,1268941,342553,2023-2024,Water Supply
Uttar Pradesh,Noida,Dadri,Jal Jeevan Mission,3899115,760940,2023-2024,Housing
Uttar Pradesh,Noida,Behrampur,MGNREGA,1145996,648863,2023-2024,Road Construction
Uttar Pradesh,Ghaziabad,Garhmukteshwar,MGNREGA,1217561,611791,2022-2023,Water Supply
Uttar Pradesh,Bulandshahr,Behrampur,Jal Jeevan Mission,1677848,1524736,2022-2023,Livelihood
Uttar Pradesh,Bulandshahr,Sikandrabad,PMAY-G,3415842,1398201,2023-2024,Housing
Uttar Pradesh,Meerut,Dhaulana,PMAY-G,4109921,3111844,2022-2023,Livelihood
Uttar Pradesh,Bulandshahr,Pilkhuwa,NRLM,4868472,692655,2022-2023,Water Supply
Uttar Pradesh,Hapur,Dasna,PMAY-G,891758,291516,2024-2025,Housing
Uttar Pradesh,Noida,Noorpur,Swachh Bharat,1181478,233260,2024-2025,Livelihood
Uttar Pradesh,Bulandshahr,Muradnagar Village,Jal Jeevan Mission,3796389,2451798,2022-2023,Housing
Uttar Pradesh,Bulandshahr,Muradnagar Village,Jal Jeevan Mission,2749162,2563164,2024-2025,Housing
Uttar Pradesh,Bulandshahr,Pilkhuwa,MGNREGA,936436,873084,2023-2024,Housing
Uttar Pradesh,Hapur,Chhapraula,Jal Jeevan Mission,3061047,1548570,2023-2024,Sanitation
Uttar Pradesh,Noida,Sikandrabad,MGNREGA,2139425,1492353,2022-2023,Sanitation
Uttar Pradesh,Bulandshahr,Chhapraula,PMAY-G,2207106,939124,2022-2023,Water Supply
Uttar Pradesh,Ghaziabad,Garhmukteshwar,Jal Jeevan Mission,4235307,1699049,2022-2023,Road Construction
Uttar Pradesh,Bulandshahr,Muradnagar Village,Jal Jeevan Mission,1629173,242701,2024-2025,Housing
Uttar Pradesh,Bulandshahr,Sikandrabad,Swachh Bharat,727609,211593,2023-2024,Sanitation
Uttar Pradesh,Ghaziabad,Loni Dehat,Swachh Bharat,4400898,3503009,2023-2024,Housing
Uttar Pradesh,Meerut,Noorpur,Jal Jeevan Mission,1234935,885321,2022-2023,Water Supply
Uttar Pradesh,Hapur,Chhapraula,NRLM,4632729,1456282,2022-2023,Livelihood
Uttar Pradesh,Meerut,Muradnagar Village,Jal Jeevan Mission,1049336,835127,2022-2023,Sanitation
Uttar Pradesh,Noida,Kavi Nagar,Jal Jeevan Mission,1913425,403172,2024-2025,Water Supply
Uttar Pradesh,Meerut,Dadri,MGNREGA,3388807,598477,2023-2024,Housing
Uttar Pradesh,Hapur,Sikandrabad,Swachh Bharat,3730666,2104639,2024-2025,Road Construction
Uttar Pradesh,Meerut,Muradnagar Village,Jal Jeevan Mission,1919134,1366591,2022-2023,Housing
Uttar Pradesh,Meerut,Modinagar Rural,Swachh Bharat,3734567,2776987,2023-2024,Livelihood
Uttar Pradesh,Ghaziabad,Khoda,Jal Jeevan Mission,3108666,2945706,2024-2025,Housing
Uttar Pradesh,Hapur,Chhapraula,NRLM,4030792,3295485,2022-2023,Sanitation
Uttar Pradesh,Meerut,Chhapraula,PMAY-G,3455173,2779995,2022-2023,Water Supply
Uttar Pradesh,Hapur,Dadri,PMAY-G,2950723,773667,2023-2024,Housing
Uttar Pradesh,Hapur,Loni Dehat,Jal Jeevan Mission,2304826,915940,2023-2024,Housing
Uttar Pradesh,Bulandshahr,Sikandrabad,PMAY-G,1081126,846453,2022-2023,Sanitation
Uttar Pradesh,Hapur,Dasna,NRLM,4872974,966968,2022-2023,Livelihood
Uttar Pradesh,Hapur,Khoda,Jal Jeevan Mission,841287,610271,2023-2024,Water Supply
Uttar Pradesh,Meerut,Chhapraula,NRLM,4524659,2851655,2022-2023,Sanitation
Uttar Pradesh,Meerut,Kavi Nagar,Swachh Bharat,2446970,864132,2022-2023,Housing
Uttar Pradesh,Hapur,Muradnagar Village,Swachh Bharat,1858053,1646439,2024-2025,Sanitation
Uttar Pradesh,Hapur,Muradnagar Village,PMAY-G,3827691,981642,2022-2023,Water Supply
Uttar Pradesh,Bulandshahr,Modinagar Rural,PMAY-G,4970801,4852570,2023-2024,Livelihood
Uttar Pradesh,Hapur,Chhapraula,Swachh Bharat,3854742,217190,2023-2024,Housing
Uttar Pradesh,Hapur,Loni Dehat,PMAY-G,1213667,985985,2024-2025,Road Construction
Uttar Pradesh,Bulandshahr,Muradnagar Village,Swachh Bharat,2324365,1147876,2024-2025,Road Construction
Uttar Pradesh,Bulandshahr,Pilkhuwa,Swachh Bharat,4405658,1675114,2024-2025,Water Supply
Uttar Pradesh,Hapur,Dasna,Jal Jeevan Mission,1457407,1127788,2023-2024,Road Construction
Uttar Pradesh,Bulandshahr,Dadri,PMAY-G,2160533,1983397,2023-2024,Road Construction
Uttar Pradesh,Hapur,Garhmukteshwar,PMAY-G,2633375,2610780,2023-2024,Livelihood
Uttar Pradesh,Bulandshahr,Dhaulana,MGNREGA,1190925,636855,2024-2025,Sanitation
Uttar Pradesh,Hapur,Noorpur,Jal Jeevan Mission,1493444,819750,2024-2025,Sanitation
Uttar Pradesh,Noida,Muradnagar Village,MGNREGA,1264404,754311,2023-2024,Sanitation
Uttar Pradesh,Noida,Khoda,Swachh Bharat,1839978,1207619,2024-2025,Housing
Uttar Pradesh,Hapur,Pilkhuwa,Swachh Bharat,2297765,1255608,2022-2023,Housing
Uttar Pradesh,Hapur,Sikandrabad,Jal Jeevan Mission,612887,276472,2024-2025,Road Construction
Uttar Pradesh,Noida,Dhaulana,Swachh Bharat,4027910,1478478,2023-2024,Housing
Uttar Pradesh,Noida,Noorpur,NRLM,3522288,2483648,2022-2023,Housing
Uttar Pradesh,Hapur,Sikandrabad,MGNREGA,2905834,671036,2023-2024,Sanitation
